['10', '5', '232', '6', '7', '2', '0', '9', '2', '1', '0', '0', '0', '0', '3', '7', '3', '5']
['9', '4', '230', '175', '12', '4', '0', '9', '0', '1', '0', '0', '0', '0', '3', '7', '2', '6']
['8', '2', '227', '173', '10', '4', '0', '9', '3', '0', '0', '0', '0', '6', '5', '7', '2', '6']
['7', '4', '226', '211', '13', '6', '0', '9', '1', '3', '0', '0', '0', '7', '5', '8', '3', '8']
['6', '5', '217', '219', '15', '6', '0', '8', '2', '2', '0', '0', '0', '6', '6', '10', '1', '8']
['4', '2', '167', '222', '17', '6', '0', '9', '2', '0', '0', '0', '0', '5', '2', '10', '2', '9']
['3', '1', '101', '224', '15', '4', '0', '11', '2', '0', '0', '0', '0', '0', '0', '11', '2', '7']
['0', '0', '3', '224', '14', '3', '1', '10', '3', '0', '0', '0', '0', '0', '0', '14', '4', '9']
['0', '1', '2', '225', '16', '4', '0', '11', '3', '2', '0', '0', '0', '0', '0', '14', '4', '9']
['0', '0', '0', '224', '16', '5', '0', '10', '3', '0', '0', '0', '0', '4', '0', '15', '4', '9']
['0', '1', '0', '224', '14', '3', '0', '9', '3', '0', '0', '0', '0', '4', '0', '14', '4', '9']
['0', '0', '1', '224', '14', '3', '0', '9', '4', '0', '0', '0', '0', '3', '0', '14', '4', '8']
['0', '0', '1', '225', '12', '3', '0', '9', '3', '0', '0', '0', '0', '4', '0', '14', '4', '9']
['1', '2', '0', '225', '13', '3', '0', '9', '4', '0', '0', '0', '0', '3', '0', '15', '4', '9']
['0', '3', '0', '222', '81', '16', '0', '10', '3', '1', '0', '0', '0', '4', '0', '24', '0', '6']
['0', '4', '0', '222', '193', '30', '0', '10', '4', '0', '0', '0', '0', '3', '0', '19', '1', '5']
['1', '3', '0', '223', '225', '34', '0', '10', '3', '0', '0', '0', '0', '3', '0', '22', '4', '6']
['0', '3', '0', '197', '201', '30', '0', '10', '3', '0', '0', '0', '0', '3', '0', '23', '5', '5']
['1', '4', '0', '203', '225', '34', '0', '10', '3', '0', '0', '0', '0', '4', '0', '22', '8', '6']
['2', '4', '0', '126', '219', '30', '0', '10', '3', '2', '0', '0', '0', '3', '0', '21', '3', '8']
['2', '3', '0', '14', '223', '32', '1', '9', '3', '0', '0', '0', '0', '4', '0', '14', '3', '7']
['1', '4', '0', '13', '233', '33', '0', '10', '4', '0', '0', '0', '0', '4', '0', '16', '8', '7']
['2', '2', '0', '13', '232', '32', '0', '9', '3', '0', '0', '0', '0', '4', '0', '15', '3', '7']
['2', '3', '0', '11', '233', '33', '0', '9', '2', '0', '0', '0', '0', '5', '0', '18', '3', '7']
['2', '4', '0', '12', '233', '33', '1', '10', '3', '0', '1', '0', '0', '5', '0', '15', '7', '8']
['1', '3', '0', '14', '233', '34', '0', '9', '3', '1', '1', '0', '0', '5', '0', '18', '3', '7']
['0', '3', '0', '14', '233', '35', '0', '9', '3', '0', '0', '0', '0', '4', '0', '18', '3', '7']
['1', '3', '0', '14', '234', '35', '0', '10', '4', '0', '0', '0', '0', '4', '0', '15', '9', '17']
['0', '4', '0', '14', '233', '166', '0', '9', '3', '0', '0', '1', '0', '5', '0', '13', '7', '19']
['0', '4', '0', '17', '232', '196', '0', '10', '2', '0', '0', '0', '0', '5', '0', '11', '3', '19']
['0', '3', '0', '17', '230', '214', '0', '10', '3', '0', '1', '0', '0', '5', '0', '14', '4', '20']
['1', '11', '3', '16', '224', '220', '0', '10', '4', '10', '5', '5', '0', '5', '0', '14', '2', '18']
['1', '10', '2', '14', '205', '222', '0', '10', '4', '11', '6', '8', '0', '5', '0', '14', '9', '13']
['0', '7', '2', '7', '55', '223', '0', '10', '4', '10', '6', '4', '0', '4', '0', '13', '1', '7']
['0', '4', '1', '7', '34', '224', '0', '11', '3', '11', '6', '3', '0', '6', '0', '14', '3', '6']
['3', '5', '1', '7', '30', '224', '1', '11', '3', '12', '6', '3', '0', '6', '0', '16', '2', '8']
['4', '6', '2', '8', '31', '224', '0', '11', '4', '12', '7', '6', '0', '5', '0', '17', '7', '8']
['2', '5', '1', '8', '32', '224', '1', '10', '4', '12', '7', '6', '0', '5', '0', '17', '6', '7']
['3', '4', '1', '7', '32', '224', '0', '11', '3', '12', '7', '6', '0', '5', '0', '15', '6', '7']
['3', '5', '1', '7', '32', '224', '0', '11', '3', '12', '7', '6', '0', '5', '0', '16', '5', '7']
['3', '4', '1', '7', '30', '224', '0', '11', '3', '14', '7', '5', '0', '5', '0', '16', '6', '6']
['3', '4', '1', '7', '29', '225', '1', '11', '3', '15', '7', '6', '0', '5', '0', '17', '8', '8']
['3', '4', '1', '7', '32', '225', '1', '10', '4', '13', '7', '6', '0', '5', '0', '16', '6', '7']
['5', '4', '1', '5', '29', '221', '1', '10', '3', '13', '7', '4', '0', '4', '0', '14', '6', '7']
['5', '5', '1', '7', '30', '217', '0', '10', '4', '13', '7', '2', '0', '5', '0', '16', '6', '7']
['4', '3', '0', '5', '25', '179', '1', '10', '4', '11', '8', '9', '0', '4', '0', '16', '5', '5']
['4', '2', '0', '4', '18', '125', '0', '11', '4', '12', '7', '1', '0', '4', '0', '13', '8', '7']
['4', '0', '0', '2', '4', '1', '0', '11', '3', '12', '2', '1', '0', '4', '0', '14', '3', '8']
['4', '0', '0', '2', '5', '1', '0', '11', '3', '12', '1', '3', '0', '4', '0', '15', '3', '7']
['4', '1', '0', '1', '4', '0', '0', '11', '3', '13', '1', '4', '0', '4', '0', '16', '4', '8']
['4', '0', '0', '1', '4', '0', '0', '11', '3', '12', '1', '5', '0', '4', '0', '16', '3', '7']
['4', '1', '0', '1', '3', '0', '0', '10', '3', '12', '3', '6', '0', '5', '0', '15', '3', '7']
['4', '1', '0', '1', '4', '0', '1', '11', '4', '13', '4', '6', '0', '4', '0', '16', '4', '8']
['4', '1', '0', '2', '6', '0', '0', '11', '3', '13', '4', '7', '0', '3', '0', '16', '3', '8']
['4', '1', '0', '2', '5', '1', '0', '11', '4', '14', '4', '5', '0', '3', '0', '15', '4', '8']
['3', '1', '0', '2', '5', '0', '0', '11', '4', '14', '3', '5', '0', '4', '0', '16', '4', '8']
['3', '0', '0', '1', '4', '0', '0', '11', '3', '13', '4', '5', '0', '4', '0', '15', '4', '7']
['4', '1', '0', '1', '3', '0', '1', '11', '3', '13', '4', '5', '0', '4', '0', '16', '4', '7']
['4', '2', '0', '2', '5', '0', '0', '11', '4', '15', '5', '5', '0', '4', '0', '16', '4', '8']
['3', '2', '0', '2', '5', '1', '0', '10', '3', '14', '4', '5', '0', '4', '0', '15', '4', '8']
['4', '1', '0', '2', '4', '0', '0', '10', '4', '14', '3', '4', '0', '4', '0', '15', '4', '7']
['4', '0', '0', '1', '4', '0', '0', '11', '4', '13', '2', '5', '0', '4', '0', '15', '4', '7']
