['8', '6', '3', '10', '1', '225', '3', '11', '0', '19', '71', '54', '0', '0', '0', '0', '7', '9']
['8', '6', '2', '9', '2', '225', '3', '12', '0', '19', '71', '54', '0', '0', '0', '2', '3', '7']
['8', '6', '3', '9', '3', '225', '4', '12', '0', '26', '199', '56', '0', '1', '0', '2', '0', '9']
['7', '5', '2', '6', '1', '220', '4', '12', '0', '25', '208', '48', '0', '1', '0', '0', '0', '8']
['8', '4', '2', '6', '2', '216', '4', '12', '0', '26', '227', '52', '0', '0', '0', '0', '6', '9']
['8', '4', '2', '5', '2', '207', '4', '12', '0', '27', '231', '51', '0', '0', '0', '1', '1', '8']
['7', '4', '2', '6', '3', '170', '4', '12', '0', '25', '231', '55', '0', '0', '0', '9', '2', '9']
['7', '3', '2', '3', '1', '103', '4', '12', '0', '25', '230', '55', '0', '1', '0', '9', '6', '8']
['7', '3', '2', '2', '4', '1', '4', '12', '0', '25', '228', '50', '1', '0', '0', '2', '3', '9']
['7', '2', '2', '1', '3', '2', '4', '13', '0', '24', '225', '51', '1', '1', '0', '1', '3', '9']
['7', '2', '2', '2', '3', '2', '5', '13', '0', '24', '226', '53', '0', '2', '0', '1', '0', '9']
['7', '3', '1', '2', '8', '3', '4', '12', '0', '25', '226', '55', '0', '1', '0', '2', '4', '11']
['7', '3', '2', '2', '7', '3', '5', '12', '1', '26', '229', '56', '0', '1', '0', '2', '3', '10']
['6', '2', '1', '1', '6', '2', '5', '12', '1', '27', '229', '56', '0', '1', '0', '2', '4', '12']
['7', '2', '1', '1', '6', '2', '5', '12', '0', '27', '229', '57', '0', '1', '0', '2', '4', '11']
['7', '3', '1', '1', '5', '1', '5', '12', '0', '27', '229', '53', '1', '2', '0', '2', '4', '11']
['7', '2', '2', '2', '8', '1', '4', '12', '0', '26', '222', '53', '1', '1', '0', '1', '4', '11']
['7', '2', '2', '131', '15', '3', '4', '11', '0', '24', '226', '0', '0', '0', '0', '15', '4', '12']
['7', '3', '3', '164', '16', '4', '3', '11', '0', '21', '225', '0', '0', '0', '0', '18', '0', '11']
['6', '2', '2', '211', '15', '3', '2', '11', '0', '0', '0', '0', '0', '0', '0', '6', '5', '12']
['6', '2', '3', '218', '16', '3', '2', '10', '0', '0', '0', '0', '0', '0', '0', '6', '5', '13']
['7', '3', '3', '220', '13', '3', '2', '11', '0', '0', '0', '0', '0', '0', '0', '6', '0', '8']
['7', '3', '3', '218', '12', '3', '2', '11', '0', '1', '1', '0', '0', '0', '0', '3', '3', '9']
['7', '3', '3', '221', '13', '4', '2', '12', '0', '7', '0', '0', '0', '0', '0', '3', '8', '7']
['6', '3', '3', '221', '12', '3', '2', '11', '0', '6', '0', '0', '0', '0', '0', '3', '6', '6']
['7', '3', '3', '220', '11', '3', '1', '11', '0', '5', '0', '0', '0', '0', '0', '4', '9', '7']
['7', '3', '3', '220', '12', '2', '2', '10', '0', '4', '0', '0', '0', '0', '0', '4', '0', '7']
['7', '3', '3', '220', '12', '1', '2', '11', '0', '8', '0', '0', '0', '0', '0', '5', '4', '9']
['7', '2', '4', '218', '13', '2', '2', '11', '0', '2', '0', '0', '0', '0', '0', '7', '2', '7']
['6', '3', '4', '219', '11', '3', '2', '11', '0', '2', '0', '0', '0', '0', '0', '8', '0', '8']
['7', '2', '3', '219', '12', '2', '2', '10', '0', '4', '0', '0', '0', '0', '0', '8', '2', '8']
['7', '2', '3', '219', '10', '2', '2', '7', '157', '6', '0', '0', '0', '0', '8', '3', '6', '4']
['4', '2', '6', '219', '9', '1', '2', '8', '200', '8', '0', '0', '0', '0', '10', '4', '6', '4']
['4', '3', '4', '217', '12', '3', '1', '7', '233', '3', '0', '0', '0', '0', '0', '1', '0', '8']
['3', '3', '3', '195', '12', '2', '1', '6', '236', '2', '0', '0', '0', '0', '0', '1', '3', '7']
['5', '3', '3', '130', '8', '2', '3', '7', '237', '3', '0', '0', '0', '0', '0', '1', '3', '8']
['5', '2', '2', '6', '4', '0', '2', '6', '237', '10', '0', '0', '0', '0', '8', '7', '5', '4']
['5', '2', '1', '4', '3', '0', '3', '7', '237', '11', '0', '0', '0', '0', '0', '8', '8', '8']
['5', '2', '2', '3', '3', '0', '4', '7', '237', '12', '0', '0', '0', '0', '8', '8', '5', '4']
['5', '3', '4', '3', '5', '0', '3', '6', '237', '12', '0', '0', '0', '0', '7', '8', '3', '4']
['5', '2', '3', '3', '3', '0', '3', '7', '237', '14', '0', '0', '0', '0', '0', '8', '7', '7']
['5', '2', '3', '2', '3', '0', '2', '7', '237', '0', '0', '0', '0', '0', '0', '1', '3', '7']
['5', '3', '2', '1', '4', '0', '4', '6', '237', '13', '0', '0', '0', '0', '7', '8', '4', '3']
['5', '2', '3', '2', '2', '0', '4', '7', '237', '15', '0', '0', '0', '0', '9', '7', '3', '4']
['5', '2', '4', '2', '4', '0', '3', '6', '237', '15', '0', '0', '0', '0', '7', '7', '2', '4']
['4', '3', '1', '2', '4', '0', '1', '6', '237', '13', '0', '14', '0', '0', '0', '8', '5', '7']
['0', '196', '5', '1', '3', '0', '0', '5', '235', '0', '0', '0', '0', '0', '0', '1', '3', '7']
['1', '209', '9', '1', '3', '0', '1', '3', '234', '0', '0', '0', '0', '0', '0', '1', '3', '6']
['3', '236', '7', '2', '3', '0', '0', '6', '229', '0', '0', '0', '0', '1', '8', '1', '3', '3']
['4', '238', '3', '0', '3', '0', '0', '6', '194', '15', '1', '3', '0', '0', '0', '8', '5', '8']
['4', '239', '5', '1', '5', '0', '0', '3', '9', '0', '1', '0', '0', '7', '1', '1', '3', '9']
['2', '239', '3', '2', '5', '1', '0', '4', '0', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['1', '238', '3', '1', '5', '0', '0', '3', '0', '0', '0', '0', '0', '4', '0', '2', '3', '7']
['3', '239', '3', '1', '4', '0', '0', '4', '0', '0', '0', '0', '0', '6', '0', '1', '3', '7']
['4', '239', '2', '2', '4', '0', '0', '5', '0', '0', '0', '0', '0', '7', '0', '1', '3', '8']
['3', '238', '3', '4', '9', '3', '0', '7', '0', '16', '6', '5', '0', '5', '0', '9', '4', '8']
['3', '239', '2', '3', '9', '3', '0', '6', '0', '15', '0', '5', '0', '5', '0', '1', '3', '7']
['3', '238', '3', '2', '5', '0', '0', '5', '0', '0', '0', '0', '0', '5', '0', '1', '3', '8']
['3', '237', '2', '1', '5', '0', '0', '3', '0', '0', '0', '0', '0', '5', '0', '1', '3', '7']
['4', '236', '2', '2', '4', '0', '0', '6', '0', '0', '0', '0', '0', '6', '0', '1', '3', '7']
['4', '236', '2', '2', '5', '0', '2', '7', '0', '0', '0', '0', '0', '1', '0', '1', '3', '8']
['8', '235', '1', '1', '5', '1', '161', '7', '0', '0', '0', '0', '0', '5', '0', '9', '6', '7']
['8', '234', '2', '3', '7', '0', '216', '7', '0', '0', '0', '0', '3', '9', '0', '9', '5', '8']
['5', '231', '1', '2', '6', '1', '224', '6', '0', '0', '1', '1', '4', '8', '0', '9', '5', '8']
['4', '215', '3', '2', '5', '0', '227', '8', '2', '1', '0', '0', '5', '5', '0', '0', '3', '7']
['6', '152', '2', '1', '1', '0', '229', '8', '2', '1', '1', '0', '3', '1', '0', '0', '4', '7']
['1', '5', '1', '1', '5', '0', '230', '6', '1', '1', '2', '0', '3', '0', '0', '2', '0', '8']
['0', '2', '1', '0', '4', '0', '231', '6', '1', '1', '1', '0', '3', '0', '0', '2', '5', '8']
['0', '0', '1', '0', '4', '0', '231', '5', '1', '0', '1', '0', '3', '0', '0', '2', '5', '7']
['0', '0', '1', '0', '4', '0', '230', '5', '1', '0', '0', '0', '4', '0', '0', '2', '3', '7']
['3', '0', '1', '0', '3', '0', '231', '5', '2', '3', '2', '0', '4', '0', '0', '2', '3', '6']
['2', '0', '0', '2', '5', '0', '231', '5', '2', '1', '3', '0', '4', '0', '0', '2', '3', '7']
['2', '0', '2', '0', '5', '0', '231', '5', '1', '1', '2', '0', '4', '0', '0', '2', '3', '7']
['3', '0', '2', '1', '4', '0', '231', '4', '1', '1', '2', '0', '3', '0', '0', '2', '4', '8']
['2', '0', '1', '1', '4', '0', '231', '5', '1', '0', '2', '1', '4', '0', '0', '2', '3', '7']
['5', '0', '1', '0', '3', '0', '232', '5', '0', '0', '0', '0', '4', '0', '0', '2', '4', '6']
['2', '0', '1', '1', '3', '0', '231', '5', '0', '1', '1', '0', '4', '0', '0', '2', '5', '7']
['3', '0', '1', '1', '5', '1', '229', '6', '0', '1', '3', '1', '3', '0', '0', '2', '4', '7']
['1', '0', '1', '1', '4', '0', '221', '5', '0', '0', '0', '0', '0', '0', '0', '2', '3', '8']
